form,group,category,flags,page_ref,notes
siTagliptin,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
solu-CORTEF,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
SOLU-medrol,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
sulfaDiazine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
sulfaSALazine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
sUMATRIPTAn,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
TACrolimus,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
tAPENTadol,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
tEGRETOl,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
tEMOdal,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
toFRANIL,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
toPAMAX,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
tORadol,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
tRAMadol,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
tRENTAl,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
tretinoin,,,comparator,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF; LASA comparator only (no TML form in AU source - verify against 2024 PDF and remove or assign correct TML form)
trimEPRAZINE,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
trimETHOPRIM,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
valAciclovir,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
valGANciclovir,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
vinBLASTine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
vinCRISTine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
vinORELBine,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
xalaCOM,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
xalaTAN,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
zinNAt,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
zinVit,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
zoCOR,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
zoLOFT,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
zoTON,,,,,DRAFT: transcribed from AU.json v20171124; must be verified against April 2024 PDF
